entry_id,base_function,package_status,forms_materialized,missing_forms,source_paths,invalid_source_paths,package_task_dir,notes
vbr1_l1_acquisition_limited_sample_and_hold,Acquisition-limited sample-and-hold,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_acquisition_limited_sample_and_hold,,benchmark-vabench-release-v1/tasks/CT03_sampling_and_analog_memory/vbr1_l1_acquisition_limited_sample_and_hold,release-designed strong analog entry added during 64-entry rebalance; fresh dual evidence pending
vbr1_l1_bandgap_reference_macro_model,Bandgap reference macro model,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_bandgap_reference_macro_model,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l1_bandgap_reference_macro_model,designed release source generated; dual evidence pending rerun
vbr1_l1_bang_bang_phase_detector,Bang-bang phase detector,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/spec-to-va/voltage/pll-clock/bbpd|tasks/end-to-end/voltage/bbpd_data_edge_alignment_smoke,,benchmark-vabench-release-v1/tasks/CT05_pll_clock_and_timing_systems/vbr1_l1_bang_bang_phase_detector,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_bias_voltage_generator_with_enable_trim,Bias voltage generator with enable/trim,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_bias_voltage_generator_with_enable_trim,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l1_bias_voltage_generator_with_enable_trim,designed release source generated; dual evidence pending rerun
vbr1_l1_burst_clock_source,Burst clock source,selected_l1_addition,dut|tb|e2e,,tasks/end-to-end/voltage/clk_burst_gen_smoke,,benchmark-vabench-release-v1/tasks/SUP02_stimulus_and_source_generators/vbr1_l1_burst_clock_source,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l1_calibration_deadband_controller,Calibration deadband controller,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_calibration_deadband_controller,,benchmark-vabench-release-v1/tasks/CT06_calibration_dem_and_control/vbr1_l1_calibration_deadband_controller,designed release source generated; dual evidence pending rerun
vbr1_l1_capacitive_weighted_sar_feedback_dac,Capacitive/weighted SAR feedback DAC,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/spec-to-va/voltage/dac/cdac_cal,,benchmark-vabench-release-v1/tasks/CT01_data_converter_models/vbr1_l1_capacitive_weighted_sar_feedback_dac,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_charge_pump_abstraction,Voltage-domain charge-pump control abstraction,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_charge_pump_abstraction,,benchmark-vabench-release-v1/tasks/CT05_pll_clock_and_timing_systems/vbr1_l1_charge_pump_abstraction,designed release source generated; dual evidence pending rerun
vbr1_l1_clocked_adc_quantizer,Clocked ADC quantizer,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/end-to-end/voltage/flash_adc_3b_smoke,,benchmark-vabench-release-v1/tasks/CT01_data_converter_models/vbr1_l1_clocked_adc_quantizer,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_clocked_sample_and_hold,Clocked sample-and-hold,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/end-to-end/voltage/sample_hold_smoke,,benchmark-vabench-release-v1/tasks/CT03_sampling_and_analog_memory/vbr1_l1_clocked_sample_and_hold,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_dac_mismatch_unit_weighting_model,DAC mismatch/unit-weighting model,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_dac_mismatch_unit_weighting_model,,benchmark-vabench-release-v1/tasks/CT01_data_converter_models/vbr1_l1_dac_mismatch_unit_weighting_model,designed release source generated; dual evidence pending rerun
vbr1_l1_digital_phase_accumulator_with_modulo_wrap,Digital phase accumulator with modulo wrap,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/end-to-end/voltage/phase_accumulator_timer_wrap_smoke,,benchmark-vabench-release-v1/tasks/CT05_pll_clock_and_timing_systems/vbr1_l1_digital_phase_accumulator_with_modulo_wrap,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_dither_or_noise_like_deterministic_source,Dither or noise-like deterministic source,selected_l1_addition,dut|tb|e2e,,tasks/end-to-end/voltage/noise_gen_smoke,,benchmark-vabench-release-v1/tasks/SUP02_stimulus_and_source_generators/vbr1_l1_dither_or_noise_like_deterministic_source,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l1_dwa_dem_encoder,DWA/DEM encoder,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/end-to-end/voltage/dwa_ptr_gen_smoke,,benchmark-vabench-release-v1/tasks/CT06_calibration_dem_and_control/vbr1_l1_dwa_dem_encoder,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_edge_interval_timer,Edge interval timer,selected_l1_addition,tb|e2e,,tasks/end-to-end/voltage/cross_interval_163p333_smoke,,benchmark-vabench-release-v1/tasks/SUP01_measurement_instrumentation_flows/vbr1_l1_edge_interval_timer,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l1_gain_estimator,Gain estimator,selected_l1_addition,tb|e2e,,tasks/end-to-end/voltage/gain_extraction_smoke,,benchmark-vabench-release-v1/tasks/SUP01_measurement_instrumentation_flows/vbr1_l1_gain_estimator,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l1_higher_order_filter,Higher-order filter,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_higher_order_filter,,benchmark-vabench-release-v1/tasks/CT04_baseband_signal_conditioning/vbr1_l1_higher_order_filter,designed release source generated; dual evidence pending rerun
vbr1_l1_hysteresis_comparator,Hysteresis comparator,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/end-to-end/voltage/comparator_hysteresis_smoke,,benchmark-vabench-release-v1/tasks/CT02_comparator_and_decision_circuits/vbr1_l1_hysteresis_comparator,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
