base_id,release_name,release_category,release_level,e2e_counting_rule,canonical_kernel,counts_as_distinct_function,allowed_task_forms,release_status,evidence_status,notes
background_calibration_accumulator,trim calibration accumulator,Calibration DEM and Control,L1,L1-form,signed_error_accumulator,no,none,merged_into_cdac_calibration,main120_dual_pass,Completely merged into cdac_calibration trim-controller evidence; do not count or release separately.
barrel_pointer_window,windowed DEM pointer,Calibration DEM and Control,L1,L1-form,windowed_pointer_wrap,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass_bugfix_confirmed,Good source-backed bugfix candidate.
cdac_calibration,Trim-voltage generator,Calibration DEM and Control,L1,L1-form,signed_error_trim_controller,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass_bugfix_confirmed,Do not describe as full CDAC array.
debounce_latch,comparator debounce latch,Comparator and Decision Circuits,L1,L1-form,qualified_latch,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Comparator decision qualification with glitch rejection; moved from removed control/readout category.
adc_code_capture_register,ADC code capture register,Data Converter Models,L1,L1-form,conversion_code_capture,yes,dut|tb|bugfix|e2e,selected_l1_addition,fresh_dual_pending_after_ct06_dedup,Captures conversion-result code and overrange status at the ADC readout boundary.
element_shuffler,deterministic element shuffler,Calibration DEM and Control,L1,L1-form,element_permutation_sequence,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,DEM/control family.
file_metric_writer,crossing metric writer,Measurement Instrumentation Flows,L1,L1-form,crossing_metric_file_output,yes,tb|dut|e2e,release_seed_with_extra_check,main120_dual_pass,Checker should inspect metric.out and compare with waveform crossing time.
first_order_lowpass,first-order lowpass,Baseband Signal Conditioning,L1,L1-form,lowpass_state_update,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Voltage-domain filter abstraction.
gain_trim_controller,gain trim controller,Calibration DEM and Control,L1,L1-form,bounded_gain_control_update,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Distinct from CDAC trim if prompt/checker expose gain behavior.
leaky_hold,leaky hold,Sample Hold and Analog Memory,L1,L1-form,held_value_decay,yes,dut|tb|bugfix|e2e,needs_review,main120_dual_pass,Ensure task is analog memory with leakage not constant-output placeholder.
lock_detector,lock detector,PLL Clock and Event Timing,L1,L1-form,windowed_lock_decision,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,PLL timing/control family.
offset_calibration_fsm,offset calibration FSM,Calibration DEM and Control,L1,L1-form,stateful_offset_search,no,none,removed_pending_redesign,main120_dual_pass,Removed from release count for now; redesign later only if it becomes a true multi-state offset-search controller.
offset_comparator,offset comparator,Comparator and Decision Circuits,L1,L1-form,threshold_with_offset,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Decision threshold includes explicit offset.
serial_readout_deserializer,Serial readout deserializer,Data Converter Models,L1,L1-form,framed_serial_word_deserialization,yes,dut|tb|bugfix|e2e,selected_l1_addition,fresh_dual_pending_after_ct06_dedup,Reconstructs framed serial ADC/readout words into parallel data.
peak_detector,peak detector,Measurement Instrumentation Flows,L1,L1-form,running_extrema_metric,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Measurement block.
