entry_id,category,base_function,level,package_status,release_status,score_surface,required_task_forms,complete_circuit_form,materialization_status,prompt_status,meta_status,checks_status,gold_status,static_status,evas_status,spectre_status,certification_status,evidence_link,notes
vbr1_l1_binary_weighted_voltage_dac,Data Converter Models,Simple 4-bit binary-coded DAC,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Code-to-voltage reconstruction block using a mathematical code/15 transfer model,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_unit_element_thermometer_dac,Data Converter Models,Unit-element thermometer DAC,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,4-bit-equivalent 15-segment unary DAC with endpoint-scaled voltage output,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_segmented_dac,Data Converter Models,Segmented DAC,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Coarse/fine or binary/thermometer segmented reconstruction,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_thermometer_code_decoder,Data Converter Models,Thermometer-code decoder,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Guarded monotonic binary-to-thermometer decode,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_clocked_adc_quantizer,Data Converter Models,Clocked ADC quantizer,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Voltage-to-code conversion with saturation and sampled output behavior,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_capacitive_weighted_sar_feedback_dac,Data Converter Models,Capacitive/weighted SAR feedback DAC,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Trial-code feedback DAC for SAR-style conversion loops,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_dac_mismatch_unit_weighting_model,Data Converter Models,DAC mismatch/unit-weighting model,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Code-to-voltage reconstruction with explicit unit weight or mismatch terms,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_sar_logic,Data Converter Models,SAR logic,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Successive approximation state machine,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_pipeline_adc_stage,Data Converter Models,Pipeline ADC MDAC stage,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Sample/hold residue generation stage with sub-ADC decision and feedback DAC subtraction,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Added during CT01 pipeline ADC coverage expansion; do not score until certified.
vbr1_l2_converter_static_linearity_measurement_flow,Data Converter Models,Converter static linearity measurement flow,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,e2e,ahdlLib-guided clean-room replacement,missing,pending,pending,pending,pending,pending,pending,not_certified,,Replaces vbr1_l2_adc_dac_reconstruction_chain; fresh static and dual evidence required.
vbr1_l2_weighted_sar_adc_dac_loop,Data Converter Models,Weighted SAR ADC/DAC loop,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,SAR controller + weighted feedback DAC + comparator interaction,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_flash_adc_mini_array,Data Converter Models,Flash ADC mini-array,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Multiple threshold comparators + thermometer/code output behavior,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_pipeline_adc_chain,Data Converter Models,Pipeline ADC residue chain,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Compact two-stage behavioral residue flow with coarse decision backend decision and final code composition,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Added during CT01 pipeline ADC coverage expansion; do not score until certified.
vbr1_l1_threshold_comparator,Comparator and Decision Circuits,Threshold comparator,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Voltage decision with bounded output transition,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_propagation_delay_comparator,Comparator and Decision Circuits,Propagation-delay comparator,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Threshold decision with input-dependent or fixed output delay,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_hysteresis_comparator,Comparator and Decision Circuits,Hysteresis comparator,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Comparator with separate rising/falling thresholds and state memory,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_window_comparator_detector,Comparator and Decision Circuits,Window comparator/detector,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,In-window or out-of-window binary decision on analog input,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_offset_comparator,Comparator and Decision Circuits,Offset comparator,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Comparator with explicit offset threshold,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_strongarm_style_latch_comparator,Comparator and Decision Circuits,StrongARM-style latch comparator,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Clocked latch-like comparator abstraction,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_debounce_latch,Comparator and Decision Circuits,Comparator debounce latch,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Comparator decision latch with delayed glitch qualification and reset behavior,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Reassigned when standalone control/readout bucket was removed; do not score until certified.
vbr1_l2_comparator_measurement_flow,Comparator and Decision Circuits,Single-ramp comparator offset measurement flow,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Single-ramp stimulus + comparator + offset measurement result,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_vco_phase_integrator,PLL Clock and Timing Systems,VCO phase integrator,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Voltage-controlled phase/frequency accumulation,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_pfd_up_dn_logic,PLL Clock and Timing Systems,PFD UP/DN logic,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,UP/DN event relation with reset-race handling,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_bang_bang_phase_detector,PLL Clock and Timing Systems,Bang-bang phase detector,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Early/late phase decision for clock-data or digital PLL loops,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_digital_phase_accumulator_with_modulo_wrap,PLL Clock and Timing Systems,Digital phase accumulator with modulo wrap,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Phase word accumulation with wraparound and output event behavior,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_clock_divider,PLL Clock and Timing Systems,Clock divider,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Resettable or programmable divider/counter,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_lock_detector,PLL Clock and Timing Systems,Lock detector,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Windowed phase/frequency lock decision,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_charge_pump_abstraction,PLL Clock and Timing Systems,Voltage-domain charge-pump control abstraction,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Voltage-domain UP/DN current-effect abstraction without transistor-level current solving,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_loop_filter_abstraction,PLL Clock and Timing Systems,Sampled loop-filter abstraction,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Sampled voltage-domain approximation of continuous-time PI loop-filter trend,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_adpll_lock_ratio_hop_timer_flow,PLL Clock and Timing Systems,ADPLL lock/ratio-hop/timer flow,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Digital phase/timer control + divider/VCO timing response,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_cppll_tracking_and_frequency_step_reacquire_flow,PLL Clock and Timing Systems,CPPLL tracking and frequency-step reacquire flow,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,PFD + charge-pump/filter abstraction + VCO response to frequency step,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_trim_calibration_controller,"Calibration, DEM, and Control",Trim-voltage generator,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Signed error accumulator or bounded trim controller,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_gain_trim_controller,"Calibration, DEM, and Control",Gain trim controller,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Bounded gain-control update block,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_dwa_dem_encoder,"Calibration, DEM, and Control",DWA/DEM encoder,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Dynamic element matching selection sequence or thermometer-coded rotation,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_calibration_deadband_controller,"Calibration, DEM, and Control",Calibration deadband controller,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Bounded trim update that holds state inside an error deadband,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_successive_approximation_calibration_search_fsm,"Calibration, DEM, and Control",Successive-approximation calibration/search FSM,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Multi-step search controller for trim or offset calibration,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_element_shuffler,"Calibration, DEM, and Control",Element shuffler,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Deterministic element permutation or scramble sequence,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_complete_calibration_loop,"Calibration, DEM, and Control",Complete calibration loop,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Sensor or error source + controller + actuator behavior,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_crossing_metric_writer,Measurement Instrumentation Flows,Crossing metric writer,L1,current_l1_seed,Required,model-capability,tb; dut; e2e-form,Waveform crossing detector with metric artifact,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_settling_time_detector,Measurement Instrumentation Flows,Settling response measurement helper,L1,current_l1_seed,Required,model-capability,tb; e2e-form,Testbench measurement for tolerance-entry timing,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_peak_detector,Measurement Instrumentation Flows,Peak detector,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Running extrema or peak metric block,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_gain_estimator,Measurement Instrumentation Flows,Gain estimator,L1,selected_l1_addition,Required expansion,model-capability,tb; e2e-form,Testbench or helper block that extracts gain metric,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_edge_interval_timer,Measurement Instrumentation Flows,Edge interval timer,L1,selected_l1_addition,Required expansion,model-capability,tb; e2e-form,Measures time interval between event or crossing edges,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_measurement_flow,Measurement Instrumentation Flows,Measurement flow,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Stimulus + DUT + metric artifact + checker,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_gain_extraction_convergence_measurement_flow,Measurement Instrumentation Flows,Gain extraction/convergence measurement flow,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Stimulus + gain estimator + convergence or trim metric artifact,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_lfsr_prbs_generator,Stimulus and Source Generators,PRBS stimulus/dither generator,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Deterministic pseudo-random stimulus or dither bit sequence in voltage-domain logic,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Reassigned when standalone control/readout bucket was removed; do not score until certified.
vbr1_l1_ramp_or_step_source,Stimulus and Source Generators,Periodic phase-ramp guard source,L1,selected_l1_addition,Required expansion,model-capability,tb; dut; e2e-form,Periodic phase-ramp source with guard-pulse timing,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_burst_clock_source,Stimulus and Source Generators,Burst clock source,L1,selected_l1_addition,Required expansion,model-capability,tb; dut; e2e-form,Timed pulse or burst stimulus generator,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_dither_or_noise_like_deterministic_source,Stimulus and Source Generators,Dither or noise-like deterministic source,L1,selected_l1_addition,Required expansion,model-capability,tb; dut; e2e-form,Reproducible pseudo-random stimulus source,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_sine_periodic_voltage_source,Stimulus and Source Generators,Sine/periodic voltage source,L1,selected_l1_addition,Required expansion,model-capability,tb; dut; e2e-form,Deterministic periodic voltage stimulus with controlled amplitude and frequency,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
