entry_id,base_id,base_function,category,package_status,source_forms_found,missing_forms,asset_complete_forms,asset_materialized_forms,certification_status,package_task_dir,notes
vbr1_l1_binary_weighted_voltage_dac,simple_binary_voltage_dac_4b,Simple 4-bit binary-coded DAC,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_binary_weighted_voltage_dac,release assets copied from source tasks; not scored until certified
vbr1_l1_segmented_dac,segmented_dac,Segmented DAC,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_segmented_dac,release assets copied from source tasks; not scored until certified
vbr1_l1_thermometer_code_decoder,thermometer_decoder_guarded,Thermometer-code decoder,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_thermometer_code_decoder,release assets copied from source tasks; not scored until certified
vbr1_l1_sar_logic,sar_logic_4b,SAR logic,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_sar_logic,release assets copied from source tasks; not scored until certified
vbr1_l1_offset_comparator,offset_comparator,Offset comparator,Comparators and Decision Circuits,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT02_comparators_and_decision_circuits/vbr1_l1_offset_comparator,release assets copied from source tasks; not scored until certified
vbr1_l1_strongarm_style_latch_comparator,strongarm_comparator_behavior,StrongARM-style latch comparator,Comparators and Decision Circuits,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT02_comparators_and_decision_circuits/vbr1_l1_strongarm_style_latch_comparator,release assets copied from source tasks; not scored until certified
vbr1_l1_vco_phase_integrator,vco_phase_integrator,VCO phase integrator,PLL / Clock / Event Timing,current_l1_seed,dut|tb|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_vco_phase_integrator,release assets copied from source tasks; not scored until certified; true-bugfix companion generated from existing release gold
vbr1_l1_pfd_up_dn_logic,pfd_reset_race,PFD UP/DN logic,PLL / Clock / Event Timing,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_pfd_up_dn_logic,release assets copied from source tasks; not scored until certified
vbr1_l1_clock_divider,resettable_counter_divider,Clock divider,PLL / Clock / Event Timing,current_l1_seed,dut|tb|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_clock_divider,release assets copied from source tasks; not scored until certified; true-bugfix companion generated from existing release gold
vbr1_l1_lock_detector,lock_detector,Lock detector,PLL / Clock / Event Timing,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_lock_detector,release assets copied from source tasks; not scored until certified
