task_id,backend,raw_status,normalized_status,failure_stage,failure_origin,failure_reason,confidence,blocking,evidence,notes_tail
vbm1_background_calibration_accumulator_bugfix,evas,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | returncode=0 | first=0.003 mid=0.004 late=0.006"
vbm1_background_calibration_accumulator_dut,evas,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | returncode=0 | first=0.004 mid=0.005 late=0.007"
vbm1_background_calibration_accumulator_e2e,evas,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=background_calibration_accumulator.va | spectre_strict:preflight_pass | returncode=0 | first=0.004 mid=0.007 late=0.010"
vbm1_background_calibration_accumulator_tb,evas,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,gold_dut_include=background_calibration_accumulator.va | spectre_strict:preflight_pass | returncode=0 | first=0.210 mid=0.050 late=0.050
vbm1_barrel_pointer_window_bugfix,evas,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:preflight_pass | returncode=1 | ERROR: Failed to compile Verilog-A file barrel_pointer_window.va: Spectre-incompatible Verilog-A: transition() contribution is inside a conditional/event/loop/case statement | tran.csv missing"
vbm1_barrel_pointer_window_dut,evas,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:conditional_transition=barrel_pointer_window.va"
vbm1_barrel_pointer_window_e2e,evas,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:6 | generated_include=barrel_pointer_window.va | spectre_strict:conditional_transition=barrel_pointer_window.va"
vbm1_barrel_pointer_window_tb,evas,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:6 | gold_dut_include=barrel_pointer_window.va | spectre_strict:preflight_pass | returncode=0 | count_range=(1, 2)"
vbm1_cdac_calibration_bugfix,evas,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | returncode=0 | first=0.040 mid=0.050 late=0.070"
vbm1_cdac_calibration_dut,evas,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | returncode=0 | first=0.940 mid=0.930 late=0.940"
