task_id,base,form,family,category_hint,exact_current_task,current_task_path,candidate_current_tasks,evas_status,spectre_status,evas_weighted_total,spectre_weighted_total,evas_staged_files,spectre_staged_files,evas_staged_source_files,spectre_staged_source_files,staged_source_hash_match,evas_staged_dir,spectre_staged_dir,materialization_state,missing_source_pieces,asset_type,benchmark_split,release_form,provenance_status,source_main120_id,badcase_origin,counts_model_capability,counts_benchmark_coverage,counts_bugfix_claim,promotion_blockers
vbm1_background_calibration_accumulator_bugfix,background_calibration_accumulator,bugfix,bugfix,calibration,yes,tasks/bugfix/voltage/calibration/vbm1_background_calibration_accumulator_bugfix,,PASS,PASS,1.0,1.0,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_background_calibration_accumulator_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_background_calibration_accumulator_bugfix/staged,has_exact_task_id,,vabench_task,vabench-main-v1,evidence-only,reconstructed_badcase,vbm1_background_calibration_accumulator_bugfix,reconstructed,false,false,false,
vbm1_background_calibration_accumulator_dut,background_calibration_accumulator,dut,spec-to-va,calibration,no,,vbm1_background_calibration_accumulator_bugfix:0.43,PASS,PASS,1.0,1.0,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_background_calibration_accumulator_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_background_calibration_accumulator_dut/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_background_calibration_accumulator_dut,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_background_calibration_accumulator_e2e,background_calibration_accumulator,e2e,end-to-end,calibration,no,,vbm1_background_calibration_accumulator_bugfix:0.43,PASS,PASS,1.0,1.0,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_background_calibration_accumulator_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_background_calibration_accumulator_e2e/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_background_calibration_accumulator_e2e,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_background_calibration_accumulator_tb,background_calibration_accumulator,tb,tb-generation,calibration,no,,vbm1_background_calibration_accumulator_bugfix:0.43,PASS,PASS,1.0,1.0,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,background_calibration_accumulator.va;tb_background_calibration_accumulator_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_background_calibration_accumulator_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_background_calibration_accumulator_tb/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_background_calibration_accumulator_tb,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_barrel_pointer_window_bugfix,barrel_pointer_window,bugfix,bugfix,calibration,yes,tasks/bugfix/voltage/calibration/vbm1_barrel_pointer_window_bugfix,,PASS,PASS,1.0,1.0,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_barrel_pointer_window_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_barrel_pointer_window_bugfix/staged,has_exact_task_id,,vabench_task,vabench-main-v1,true-bugfix,reconstructed_badcase,vbm1_barrel_pointer_window_bugfix,reconstructed,true,true,true,
vbm1_barrel_pointer_window_dut,barrel_pointer_window,dut,spec-to-va,calibration,yes,tasks/spec-to-va/voltage/calibration/vbm1_barrel_pointer_window_dut,,PASS,PASS,1.0,1.0,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_barrel_pointer_window_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_barrel_pointer_window_dut/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_barrel_pointer_window_dut,,true,true,false,
vbm1_barrel_pointer_window_e2e,barrel_pointer_window,e2e,end-to-end,calibration,yes,tasks/end-to-end/voltage/calibration/vbm1_barrel_pointer_window_e2e,,PASS,PASS,1.0,1.0,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_barrel_pointer_window_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_barrel_pointer_window_e2e/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_barrel_pointer_window_e2e,,true,true,false,
vbm1_barrel_pointer_window_tb,barrel_pointer_window,tb,tb-generation,calibration,yes,tasks/tb-generation/voltage/calibration/vbm1_barrel_pointer_window_tb,,PASS,PASS,1.0,1.0,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,barrel_pointer_window.va;tb_barrel_pointer_window_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_barrel_pointer_window_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_barrel_pointer_window_tb/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_barrel_pointer_window_tb,,true,true,false,
vbm1_cdac_calibration_bugfix,cdac_calibration,bugfix,bugfix,dac,yes,tasks/bugfix/voltage/dac/vbm1_cdac_calibration_bugfix,,PASS,PASS,1.0,1.0,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_cdac_calibration_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_cdac_calibration_bugfix/staged,has_exact_task_id,,vabench_task,vabench-main-v1,true-bugfix,reconstructed_badcase,vbm1_cdac_calibration_bugfix,reconstructed,true,true,true,
vbm1_cdac_calibration_dut,cdac_calibration,dut,spec-to-va,dac,no,,cdac_cal:0.40;vbm1_cdac_calibration_bugfix:0.29,PASS,PASS,1.0,1.0,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_cdac_calibration_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_cdac_calibration_dut/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_cdac_calibration_dut,,true,true,false,missing_prompt_meta_checks_gold_review
