batch,risk,entry_id,level,category,base_function,forms,certification,representative_form,prompt_preview,gold_modules,checker_focus,risk_reason,human_review_question,next_action_preference
G Signal conditioning,P3,vbr1_l1_first_order_lowpass,L1,Baseband Signal Conditioning,First-order lowpass,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Baseband Signal Conditioning - Base function: First-order lowpass - Domain: `voltage` - Target artifact(s): `first_order_lowpass.va` - Supplied/reference support artifact(s): `tb_first_order_lowpass_ref.scs`,first_order_lowpass,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
G Signal conditioning,P3,vbr1_l1_higher_order_filter,L1,Baseband Signal Conditioning,Higher-order filter,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Baseband Signal Conditioning - Base function: Higher-order filter - Domain: `voltage` - Target artifact(s): `higher_order_filter.va` - Visible context: public task, interface, artifact, stimulus, and observable contract ...",higher_order_filter,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
G Signal conditioning,P3,vbr1_l1_precision_rectifier_envelope_detector,L1,Baseband Signal Conditioning,Precision rectifier/envelope detector,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Baseband Signal Conditioning - Base function: Precision rectifier/envelope detector - Domain: `voltage` - Target artifact(s): `precision_rectifier_envelope_detector.va` - Visible context: public task, interface, artifact...",precision_rectifier_envelope_detector,"sim_correct, metric, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
G Signal conditioning,P3,vbr1_l1_programmable_gain_amplifier,L1,Baseband Signal Conditioning,Programmable gain amplifier,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Baseband Signal Conditioning - Base function: Programmable gain amplifier - Domain: `voltage` - Target artifact(s): `programmable_gain_amplifier.va` - Visible context: public task, interface, artifact, stimulus, and obse...",programmable_gain_amplifier,"sim_correct, metric, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
G Signal conditioning,P3,vbr1_l1_resettable_integrator,L1,Baseband Signal Conditioning,Resettable integrator,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Baseband Signal Conditioning - Base function: Resettable integrator - Domain: `voltage` - Target artifact(s): `resettable_integrator.va` - Supplied/reference support artifact(s): `tb_resettable_integrator_ref.scs`,resettable_integrator,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
G Signal conditioning,P3,vbr1_l1_slew_rate_limiter,L1,Baseband Signal Conditioning,Slew-rate limiter,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Baseband Signal Conditioning - Base function: Slew-rate limiter - Domain: `voltage` - Target artifact(s): `slew_rate_limiter.va` - Supplied/reference support artifact(s): `tb_slew_rate_limiter_ref.scs`,slew_rate_limiter,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
G Signal conditioning,P3,vbr1_l1_soft_hysteretic_limiter,L1,Baseband Signal Conditioning,Soft/hysteretic limiter,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Baseband Signal Conditioning - Base function: Soft/hysteretic limiter - Domain: `voltage` - Target artifact(s): `soft_hysteretic_limiter.va` - Visible context: public task, interface, artifact, stimulus, and observable c...",soft_hysteretic_limiter,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
G Signal conditioning,P1,vbr1_l2_amplifier_filter_chain,L2,Baseband Signal Conditioning,Amplifier/filter chain,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Baseband Signal Conditioning - Base function: Amplifier/filter chain - Domain: `voltage` - Target artifact(s): `amplifier_filter_chain.va`, `tb_amplifier_filter_chain.scs` - Visible context: public task, interface, artif...",amplifier_filter_chain,"sim_correct, metric, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
I Bias reference and power,P3,vbr1_l1_bandgap_reference_macro_model,L1,Bias Reference and Power Management,Bandgap reference macro model,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Bias Reference and Power Management - Base function: Bandgap reference macro model - Domain: `voltage` - Target artifact(s): `bandgap_reference_macro_model.va` - Visible context: public task, interface, artifact, stimulu...",bandgap_reference_macro_model,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
I Bias reference and power,P3,vbr1_l1_bias_voltage_generator_with_enable_trim,L1,Bias Reference and Power Management,Bias voltage generator with enable/trim,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Bias Reference and Power Management - Base function: Bias voltage generator with enable/trim - Domain: `voltage` - Target artifact(s): `bias_voltage_generator_with_enable_trim.va` - Visible context: public task, interfac...",bias_voltage_generator_with_enable_trim,"sim_correct, metric, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
