task_id,backend,raw_status,normalized_status,failure_stage,failure_origin,failure_reason,confidence,blocking,evidence,notes_tail
vbm1_background_calibration_accumulator_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=523 cols=5 | first=0.003 mid=0.004 late=0.006"
vbm1_background_calibration_accumulator_dut,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=557 cols=5 | first=0.004 mid=0.005 late=0.007"
vbm1_background_calibration_accumulator_e2e,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=background_calibration_accumulator.va | spectre_strict:preflight_pass | spectre_csv_rows=597 cols=5 | first=0.004 mid=0.007 late=0.010"
vbm1_background_calibration_accumulator_tb,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,gold_dut_include=background_calibration_accumulator.va | spectre_strict:preflight_pass | spectre_csv_rows=675 cols=8 | first=0.210 mid=0.050 late=0.050
vbm1_barrel_pointer_window_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:preflight_pass | spectre_csv_rows=297 cols=7 | count_range=(0, 0)"
vbm1_barrel_pointer_window_dut,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:conditional_transition=barrel_pointer_window.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_barrel_pointer_window_e2e,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:6 | generated_include=barrel_pointer_window.va | spectre_strict:conditional_transition=barrel_pointer_window.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_barrel_pointer_window_tb,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:6 | gold_dut_include=barrel_pointer_window.va | spectre_strict:preflight_pass | spectre_csv_rows=360 cols=7 | count_range=(2, 2)"
vbm1_cdac_calibration_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=530 cols=5 | first=0.040 mid=0.050 late=0.070"
vbm1_cdac_calibration_dut,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=585 cols=5 | first=0.940 mid=0.930 late=0.940"
vbm1_cdac_calibration_e2e,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=cdac_calibration.va | spectre_strict:preflight_pass | spectre_csv_rows=689 cols=5 | first=0.080 mid=0.140 late=0.200"
vbm1_cdac_calibration_tb,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | gold_dut_include=cdac_calibration.va | spectre_strict:preflight_pass | spectre_csv_rows=832 cols=5 | first=0.050 mid=0.050 late=0.050"
vbm1_debounce_latch_bugfix,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:conditional_transition=debounce_latch.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_debounce_latch_dut,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_csv_rows=326 cols=4 | early=0.000 late=1.000"
vbm1_debounce_latch_e2e,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=debounce_latch.va | spectre_strict:conditional_transition=debounce_latch.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_debounce_latch_tb,spectre,FAIL_TB_COMPILE,FAIL,compile_or_elaboration,dut_source,dut_compile_or_elaboration_failure,0.82,True,DUT compile/elaboration failed before a behavior verdict,"contract_save_pruned=removed:1,inserted:1,signals:3 | gold_dut_include=debounce_latch.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_edge_detector_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_csv_rows=400 cols=4 | pulse_edges=4 high_frac=0.280"
vbm1_edge_detector_dut,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_csv_rows=424 cols=4 | pulse_edges=4 high_frac=0.292"
vbm1_edge_detector_e2e,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=edge_detector.va | spectre_strict:conditional_transition=edge_detector.va | spectre_strict:conditional_cross=edge_detector.va:20:conditional_block | spectre_data_missing_time | spectre_returncode=2"
vbm1_edge_detector_tb,spectre,FAIL_TB_COMPILE,FAIL,compile_or_elaboration,dut_source,dut_compile_or_elaboration_failure,0.82,True,DUT compile/elaboration failed before a behavior verdict,"contract_save_pruned=removed:1,inserted:1,signals:3 | gold_dut_include=edge_detector.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_element_shuffler_bugfix,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:conditional_transition=element_shuffler.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_element_shuffler_dut,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:preflight_pass | spectre_csv_rows=321 cols=7 | highs={'out0': 34, 'out1': 96, 'out2': 96, 'out3': 95}"
vbm1_element_shuffler_e2e,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:6 | generated_include=element_shuffler.va | spectre_strict:preflight_pass | spectre_csv_rows=344 cols=7 | highs={'out0': 329, 'out1': 17, 'out2': 0, 'out3': 0}"
vbm1_element_shuffler_tb,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:6 | gold_dut_include=element_shuffler.va | spectre_strict:preflight_pass | spectre_csv_rows=341 cols=7 | highs={'out0': 274, 'out1': 26, 'out2': 26, 'out3': 15}"
vbm1_file_metric_writer_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:interface_parameter_missing=file_metric_writer:filename instance=XDUT passed=filename declared=<none> | spectre_strict:preflight_pass | spectre_csv_rows=196 cols=3 | pre=1.000 post=1.000"
vbm1_file_metric_writer_dut,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | spectre_csv_rows=196 cols=3 | pre=0.000 post=0.000"
vbm1_file_metric_writer_e2e,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:2 | generated_include=file_metric_writer.va | spectre_strict:preflight_pass | spectre_csv_rows=183 cols=3 | pre=0.000 post=0.000"
vbm1_file_metric_writer_tb,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,gold_dut_include=file_metric_writer.va | spectre_strict:preflight_pass | spectre_csv_rows=225 cols=4 | pre=0.478 post=0.900
vbm1_first_order_lowpass_bugfix,spectre,FAIL_DUT_COMPILE,FAIL,source_unsupported_symbol,dut_source,unsupported_or_nonstandard_symbol,0.92,True,unsupported/nonstandard time symbol appears in source or runtime trace,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_dut,spectre,FAIL_DUT_COMPILE,FAIL,compile_or_elaboration,dut_source,dut_compile_or_elaboration_failure,0.82,True,DUT compile/elaboration failed before a behavior verdict,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_e2e,spectre,FAIL_DUT_COMPILE,FAIL,compile_or_elaboration,dut_source,dut_compile_or_elaboration_failure,0.82,True,DUT compile/elaboration failed before a behavior verdict,"contract_save_pruned=removed:1,inserted:1,signals:2 | generated_include=first_order_lowpass.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_tb,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:2 | gold_dut_include=first_order_lowpass.va | spectre_strict:preflight_pass | spectre_csv_rows=623 cols=3 | early=0.736 late=0.080"
vbm1_gain_trim_controller_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:5 | spectre_strict:preflight_pass | spectre_csv_rows=429 cols=6 | first=0.050 late=0.020"
vbm1_gain_trim_controller_dut,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:5 | spectre_strict:preflight_pass | spectre_csv_rows=461 cols=6 | first=0.540 late=0.510"
vbm1_gain_trim_controller_e2e,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:5 | generated_include=gain_trim_controller.va | spectre_strict:preflight_pass | spectre_csv_rows=596 cols=6 | first=0.480 late=0.410"
vbm1_gain_trim_controller_tb,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:5 | gold_dut_include=gain_trim_controller.va | spectre_strict:preflight_pass | spectre_csv_rows=567 cols=6 | first=0.300 late=0.200"
vbm1_leaky_hold_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_csv_rows=376 cols=4 | high=0.496 decayed=0.467 rst=0.000"
vbm1_leaky_hold_dut,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:conditional_transition=leaky_hold.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_leaky_hold_e2e,spectre,FAIL_DUT_COMPILE,FAIL,source_semantics_preflight,dut_source,conditional_transition_semantics,0.95,True,transition() appears inside conditional/event/loop/case control flow,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=leaky_hold.va | spectre_strict:conditional_transition=leaky_hold.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_leaky_hold_tb,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:3 | gold_dut_include=leaky_hold.va | spectre_strict:preflight_pass | spectre_csv_rows=431 cols=4 | high=0.561 decayed=0.102 rst=0.000"
vbm1_lock_detector_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=834 cols=5 | early_high=0.000 late_high=0.314"
vbm1_lock_detector_dut,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=858 cols=5 | early_high=0.000 late_high=0.759"
vbm1_lock_detector_e2e,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=lock_detector.va | spectre_strict:preflight_pass | spectre_csv_rows=1960 cols=5 | early_high=0.000 late_high=0.000"
vbm1_lock_detector_tb,spectre,FAIL_TB_COMPILE,FAIL,compile_or_elaboration,dut_source,dut_compile_or_elaboration_failure,0.82,True,DUT compile/elaboration failed before a behavior verdict,"contract_save_pruned=removed:1,inserted:1,signals:4 | gold_dut_include=lock_detector.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_offset_calibration_fsm_bugfix,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=526 cols=5 | first=0.040 mid=0.030 late=0.040"
vbm1_offset_calibration_fsm_dut,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=536 cols=5 | first=0.300 mid=0.400 late=0.400"
vbm1_offset_calibration_fsm_e2e,spectre,FAIL_SIM_CORRECTNESS,FAIL,behavior_check,candidate_behavior,checker_behavior_failure,0.9,False,simulation completed and checker reported a behavior mismatch,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=offset_calibration_fsm.va | spectre_strict:preflight_pass | spectre_csv_rows=596 cols=5 | first=0.100 mid=0.100 late=0.100"
vbm1_offset_calibration_fsm_tb,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:4 | gold_dut_include=offset_calibration_fsm.va | spectre_strict:preflight_pass | spectre_csv_rows=666 cols=5 | first=0.610 mid=0.450 late=0.850"
vbm1_offset_comparator_bugfix,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=1418 cols=5 | clock_decisions=7 | high_ok=1 | low_ok=1"
vbm1_offset_comparator_dut,spectre,PASS,PASS,pass,none,pass,1.0,False,status=PASS,"contract_save_pruned=removed:1,inserted:1,signals:4 | spectre_strict:preflight_pass | spectre_csv_rows=1440 cols=5 | clock_decisions=7 | high_ok=1 | low_ok=1"
vbm1_offset_comparator_e2e,spectre,FAIL_DUT_COMPILE,FAIL,compile_or_elaboration,dut_source,dut_compile_or_elaboration_failure,0.82,True,DUT compile/elaboration failed before a behavior verdict,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=cmp_offset_ref.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_offset_comparator_tb,spectre,FAIL_TB_COMPILE,FAIL,compile_or_elaboration,dut_source,dut_compile_or_elaboration_failure,0.82,True,DUT compile/elaboration failed before a behavior verdict,"contract_save_pruned=removed:1,inserted:1,signals:4 | gold_dut_include=cmp_offset_ref.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
