base_id,forms,task_count,priority,class,max_numeric_delta,action,reason,evas_note,spectre_note,row_info,waveform_flags,stable_check,stable_evas_note,stable_spectre_note
vbm1_barrel_pointer_window,"bugfix,dut,e2e,tb",4,P1-resolved-checker,stable_sequence_checker_repair,1.0,materialize checks.yaml with fixed-time state-sequence checks instead of raw sample counts,The repaired stable checker gives identical EVAS/Spectre state sequences; only the historical row-count notes drift.,"count_range=(1, 2)","count_range=(2, 2)",rows 298 vs 309; stop 1.3000012207e-07 vs 1.3e-07; max_feature_delta=0.0251,,match,"window_sequence=12,23,03,01,12,23 expected=12,23,03,01,12,23","window_sequence=12,23,03,01,12,23 expected=12,23,03,01,12,23"
vbm1_edge_detector,"bugfix,dut,e2e,tb",4,P2-checker,time_fraction_sampling_drift,0.018000000000000016,prefer time-weighted pulse width over row-fraction summaries,Pulse count matches; high fraction differs because EVAS and Spectre save different points around transitions.,pulse_edges=4 high_frac=0.159,pulse_edges=4 high_frac=0.141,rows 402 vs 396; stop 1.8e-07 vs 1.8e-07; max_feature_delta=0.03792,sig hi_frac 0.331 vs 0.293,-,,
vbm1_element_shuffler,"bugfix,dut,e2e,tb",4,P1-resolved-checker,stable_sequence_checker_repair,12.0,materialize checks.yaml with fixed-time state-sequence checks instead of raw sample counts,The repaired stable checker gives identical EVAS/Spectre state sequences; only the historical row-count notes drift.,"highs={'out0': 69, 'out1': 90, 'out2': 88, 'out3': 45}","highs={'out0': 81, 'out1': 92, 'out2': 90, 'out3': 46}",rows 298 vs 309; stop 1.3000012207e-07 vs 1.3e-07; max_feature_delta=0.03059,out0 hi_frac 0.232 vs 0.262,match,"active_sequence=1,2,3,0,1,2 expected=1,2,3,0,1,2","active_sequence=1,2,3,0,1,2 expected=1,2,3,0,1,2"
vbm1_first_order_lowpass,"bugfix,dut,e2e,tb",4,P2-tolerance,continuous_response_numeric_drift,0.0010000000000000009,keep analog-value tolerances; no EVAS fix unless drift grows across more analog kernels,"Lowpass sample values differ by about 1 mV, consistent with solver/sample-grid differences.",early=0.450 late=0.798,early=0.449 late=0.798,rows 1437 vs 614; stop 1.6e-07 vs 1.6e-07; max_feature_delta=0.05389,vin hi_frac 0.971 vs 0.919; vout hi_frac 0.875 vs 0.821,-,,
vbm1_leaky_hold,"bugfix,dut,e2e,tb",4,P2-watch,continuous_decay_numeric_drift,0.0040000000000000036,keep tolerance checks and reuse the $abstime/decay conformance regression for sharper coverage,Hold/decay values differ by a few mV; related to continuous decay sampling but not a binary mismatch here.,high=0.655 decayed=0.265 rst=0.000,high=0.659 decayed=0.263 rst=0.000,rows 621 vs 373; stop 1.7000012207e-07 vs 1.7e-07; max_feature_delta=0.1178,rst hi_frac 0.069 vs 0.137; vout hi_frac 0.375 vs 0.257,-,,
vbm1_lock_detector,"bugfix,dut,e2e,tb",4,P2-checker,time_fraction_sampling_drift,0.03600000000000003,use time-weighted late-lock duration or lock edge time instead of row fraction,Lock assertion behavior matches; late_high differs with accepted-point density.,early_high=0.000 late_high=0.789,early_high=0.000 late_high=0.753,rows 647 vs 845; stop 3.2000012207e-07 vs 3.2e-07; max_feature_delta=0.05336,ref_clk hi_frac 0.439 vs 0.492,-,,
vbm1_one_shot_timer,"bugfix,dut,e2e,tb",4,P2-checker,time_fraction_sampling_drift,0.00020000000000000573,prefer time-weighted pulse width over row-fraction summaries,Trigger and pulse edge counts match; only sampled high fraction differs slightly.,trig_edges=5 pulse_edges=5 pulse_frac=0.1517,trig_edges=5 pulse_edges=5 pulse_frac=0.1519,rows 573 vs 553; stop 2.6e-07 vs 2.6e-07; max_feature_delta=0.0132,,-,,
vbm1_pfd_reset_race,"bugfix,dut,e2e,tb",4,P2-tolerance,event_timing_quantization_drift,0.00020000000000000052,keep tolerance-based timing checks; add atomic regression only if pulse counts diverge,Pulse counts and overlap classification match; timing fractions differ at the fourth decimal place.,up_first=0.0100 dn_first=0.0000 up_second=0.0000 dn_second=0.0100 up_pulses_first=5 dn_pulses_second=5 overlap_frac=0.0000,up_first=0.0101 dn_first=0.0000 up_second=0.0000 dn_second=0.0102 up_pulses_first=5 dn_pulses_second=5 overlap_frac=0.0000,rows 30132 vs 30125; stop 3e-07 vs 3e-07; max_feature_delta=0.001094,,-,,
vbm1_resettable_integrator,"bugfix,dut,e2e,tb",4,P2-tolerance,continuous_integration_numeric_drift,0.0030000000000000027,keep analog-value tolerances; consider a dedicated integrator regression if future candidates flip pass/fail,Windowed analog means differ by a few mV while reset and trend semantics agree.,reset=0.000 mid1=0.126 mid2=0.326 late=0.056,reset=0.000 mid1=0.129 mid2=0.328 late=0.059,rows 1431 vs 682; stop 3.2000012207e-07 vs 3.2e-07; max_feature_delta=0.1095,rst hi_frac 0.080 vs 0.189; vout hi_frac 0.341 vs 0.302,-,,
vbm1_rotating_element_selector,"bugfix,dut,e2e,tb",4,P1-resolved-checker,stable_sequence_checker_repair,12.0,materialize checks.yaml with fixed-time state-sequence checks instead of raw sample counts,The repaired stable checker gives identical EVAS/Spectre state sequences; only the historical row-count notes drift.,"highs={'sel0': 69, 'sel1': 90, 'sel2': 88, 'sel3': 45}","highs={'sel0': 81, 'sel1': 92, 'sel2': 90, 'sel3': 46}",rows 298 vs 309; stop 1.3000012207e-07 vs 1.3e-07; max_feature_delta=0.03059,sel0 hi_frac 0.232 vs 0.262,match,"active_sequence=1,2,3,0,1,2 expected=1,2,3,0,1,2","active_sequence=1,2,3,0,1,2 expected=1,2,3,0,1,2"
